Country,Region,Happiness_Score,GDP,Social_Support,Life_Expectancy,Freedom,Generosity,Corruption
Finland,Western Europe,7.8,1.359,1.464,0.946,0.68,0.306,0.242
Denmark,Western Europe,7.59,1.263,1.254,0.88,0.649,0.302,0.141
Iceland,Western Europe,7.53,1.332,1.219,0.906,0.814,0.25,0.119
Netherlands,Western Europe,7.4,1.399,1.228,0.979,0.707,0.176,0.294
Sweden,Western Europe,7.34,1.214,1.347,0.801,0.586,0.253,0.24
Norway,Western Europe,7.32,1.211,1.291,0.758,0.736,0.192,0.176
Switzerland,Western Europe,7.24,1.38,1.202,0.739,0.814,0.323,0.317
Luxembourg,Western Europe,7.23,1.297,1.295,0.744,0.737,0.233,0.232
United Kingdom,Western Europe,6.75,1.099,1.187,0.753,0.517,0.169,0.317
Austria,Western Europe,7.1,1.255,1.317,0.823,0.62,0.216,0.235
Germany,Western Europe,6.89,1.122,1.136,0.796,0.724,0.271,0.364
Belgium,Western Europe,6.86,1.117,1.165,0.836,0.584,0.192,0.347
France,Western Europe,6.66,1.156,1.13,0.75,0.647,0.167,0.235
Spain,Western Europe,6.42,0.904,0.999,0.84,0.65,0.248,0.319
Italy,Western Europe,6.41,0.921,1.156,0.702,0.53,0.248,0.3
Ireland,Western Europe,6.91,1.115,1.225,0.993,0.633,0.198,0.321
United States,North America,6.89,1.067,1.2,0.824,0.409,0.2,0.182
Canada,North America,6.96,1.21,1.188,0.712,0.57,0.258,0.278
New Zealand,Oceania,7.12,1.113,1.105,0.712,0.638,0.127,0.293
Australia,Oceania,7.1,1.059,1.192,0.834,0.566,0.129,0.125
Costa Rica,Latin America,6.58,1.266,1.123,0.723,0.724,0.174,0.183
Mexico,Latin America,6.33,1.059,1.046,0.772,0.488,0.21,0.143
Chile,Latin America,6.38,1.096,1.111,0.758,0.561,0.252,0.247
Uruguay,Latin America,6.6,0.981,1.193,0.737,0.62,0.35,0.296
Brazil,Latin America,6.29,1.021,1.282,0.643,0.686,0.294,0.357
Argentina,Latin America,6.24,1.078,1.121,0.584,0.48,0.212,0.274
Colombia,Latin America,5.63,0.858,1.04,0.605,0.61,0.211,0.394
Peru,Latin America,5.53,0.995,0.995,0.699,0.521,0.13,0.218
Panama,Latin America,6.18,0.998,0.923,0.716,0.507,0.222,0.17
Guatemala,Latin America,5.95,0.993,1.06,0.575,0.588,0.196,0.279
Israel,Middle East,7.47,1.198,1.289,0.848,0.699,0.275,0.237
Saudi Arabia,Middle East,6.6,1.308,1.379,0.774,0.569,0.166,0.251
United Arab Emirates,Middle East,6.57,1.117,1.135,0.669,0.613,0.273,0.13
Kuwait,Middle East,6.19,0.954,1.125,0.712,0.549,0.346,0.266
Turkey,Middle East,4.61,0.897,0.865,0.539,0.45,0.183,0.264
Iraq,Middle East,4.6,0.691,0.762,0.442,0.487,0.224,0.383
Jordan,Middle East,4.79,0.863,0.997,0.582,0.568,0.251,0.356
Lebanon,Middle East,2.39,0.274,0.614,0.346,0.167,0.116,0.386
Czech Republic,Eastern Europe,6.83,1.026,1.262,0.854,0.78,0.255,0.212
Lithuania,Eastern Europe,6.83,1.178,1.109,0.851,0.494,0.238,0.179
Slovenia,Eastern Europe,6.65,1.205,1.291,0.638,0.605,0.241,0.247
Estonia,Eastern Europe,6.66,1.149,1.04,0.674,0.657,0.171,0.308
Poland,Eastern Europe,6.28,1.062,1.163,0.751,0.603,0.228,0.208
Romania,Eastern Europe,6.36,1.056,1.319,0.759,0.547,0.267,0.294
Serbia,Eastern Europe,6.15,0.905,1.003,0.737,0.558,0.339,0.241
Hungary,Eastern Europe,6.03,0.963,1.023,0.991,0.528,0.297,0.231
Russia,Eastern Europe,5.66,0.931,1.03,0.69,0.49,0.385,0.289
Bulgaria,Eastern Europe,5.1,0.996,0.894,0.676,0.543,0.141,0.258
Ukraine,Eastern Europe,4.87,0.889,0.767,0.638,0.489,0.267,0.298
Singapore,East Asia,6.59,0.945,1.162,0.794,0.562,0.246,0.182
Taiwan,East Asia,6.53,1.145,1.051,0.71,0.668,0.406,0.374
Japan,East Asia,6.13,1.012,1.131,0.754,0.593,0.158,0.276
South Korea,East Asia,5.95,0.955,0.98,0.613,0.613,0.152,0.24
Mongolia,East Asia,5.84,1.066,1.186,0.644,0.59,0.169,0.3
China,East Asia,5.78,1.099,0.968,0.618,0.483,0.046,0.283
Hong Kong,East Asia,5.31,1.016,0.941,0.614,0.462,0.164,0.298
Vietnam,Southeast Asia,5.76,0.909,1.108,0.84,0.592,0.154,0.328
Philippines,Southeast Asia,5.9,0.984,0.945,0.52,0.594,0.23,0.33
Thailand,Southeast Asia,5.53,0.99,1.022,0.686,0.519,0.238,0.269
Malaysia,Southeast Asia,6.08,1.14,1.199,0.559,0.575,0.372,0.242
Indonesia,Southeast Asia,5.28,0.87,0.821,0.567,0.588,0.282,0.296
Nepal,South Asia,5.36,0.912,0.994,0.7,0.464,0.161,0.171
Pakistan,South Asia,4.55,0.695,0.883,0.533,0.475,0.119,0.254
Bangladesh,South Asia,3.94,0.591,0.842,0.377,0.371,0.218,0.455
Sri Lanka,South Asia,3.83,0.775,0.644,0.395,0.36,0.071,0.476
India,South Asia,4.04,0.862,0.667,0.529,0.47,0.327,0.353
Senegal,Sub-Saharan Africa,4.87,0.848,0.953,0.503,0.522,0.292,0.365
Ivory Coast,Sub-Saharan Africa,4.85,0.952,0.93,0.577,0.519,0.159,0.35
Nigeria,Sub-Saharan Africa,4.98,0.908,0.945,0.577,0.565,0.063,0.511
Ghana,Sub-Saharan Africa,4.72,0.767,0.916,0.493,0.453,0.303,0.405
Cameroon,Sub-Saharan Africa,4.6,0.849,0.806,0.705,0.489,0.183,0.335
Kenya,Sub-Saharan Africa,4.51,0.953,0.875,0.574,0.412,0.289,0.29
Uganda,Sub-Saharan Africa,4.43,0.783,0.869,0.353,0.449,0.061,0.254
Mali,Sub-Saharan Africa,4.4,0.938,0.774,0.527,0.415,0.14,0.364
South Africa,Sub-Saharan Africa,4.49,0.534,1.019,0.469,0.438,0.19,0.303
Ethiopia,Sub-Saharan Africa,4.13,0.822,0.841,0.552,0.443,0.186,0.279
Botswana,Sub-Saharan Africa,3.44,0.642,0.592,0.348,0.285,0.133,0.356
Tanzania,Sub-Saharan Africa,3.73,0.648,0.8,0.432,0.514,0.224,0.317
Congo (DRC),Sub-Saharan Africa,3.21,0.607,0.578,0.427,0.252,0.079,0.507
Zimbabwe,Sub-Saharan Africa,3.2,0.397,0.735,0.455,0.237,0.153,0.459
Sierra Leone,Sub-Saharan Africa,3.14,0.565,0.76,0.284,0.398,0.172,0.408
Afghanistan,South Asia,1.86,0.424,0.396,0.219,0.264,0.178,0.55
